time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/learning_rate,train/actor_loss,train/reward,train/n_updates,train/critic_loss
4,121,97,11828,0.001,129.1678692446026,-8.601791,8871,17483.99908920071
8,111,212,23656,0.001,-1.7772392751255983,-8.601791,20699,86.8380097965554
12,107,331,35484,0.001,-0.0958580071631446,-8.601791,32527,23.18683007314151
16,105,446,47312,0.001,6.779896860032347,-8.601791,44355,9.375553468050166
