,date,daily_return
0,2016-01-04,0.0
1,2016-01-05,0.001084052235370794
2,2016-01-06,-0.014114840145393803
3,2016-01-07,-0.02821996796686496
4,2016-01-08,-0.011763977874359162
5,2016-01-11,-0.00013523074198407435
6,2016-01-12,0.006195976504505286
7,2016-01-13,-0.025530805712767494
8,2016-01-14,0.01615201703567231
9,2016-01-15,-0.027033685046113122
10,2016-01-19,0.0011997157175099708
11,2016-01-20,-0.008390856578075782
12,2016-01-21,0.0020587644726337987
13,2016-01-22,0.026991425922615206
14,2016-01-25,-0.017271896403651732
15,2016-01-26,0.014266901238737478
16,2016-01-27,-0.01327777271768524
17,2016-01-28,0.0087249466169678
18,2016-01-29,0.027564495874898468
19,2016-02-01,-0.0028874104202097615
20,2016-02-02,-0.023350895464302808
21,2016-02-03,0.007634245184235934
22,2016-02-04,0.003218462662753829
23,2016-02-05,-0.023190633279763413
24,2016-02-08,-0.014700685015357564
25,2016-02-09,-0.005852436292297329
26,2016-02-10,0.0018857594899872984
27,2016-02-11,-0.010499009138244756
28,2016-02-12,0.018054620990725585
29,2016-02-16,0.02129367333865863
30,2016-02-17,0.018588646710504322
31,2016-02-18,-0.006556173320440735
32,2016-02-19,0.0007233513640613102
33,2016-02-22,0.016644900635356976
34,2016-02-23,-0.014865375957462394
35,2016-02-24,0.005389036950785972
36,2016-02-25,0.008649871903092382
37,2016-02-26,-0.0017770665482481143
38,2016-02-29,-0.0032493005089734577
39,2016-03-01,0.028163072590515
40,2016-03-02,0.007063907753379537
41,2016-03-03,0.005878322903069631
42,2016-03-04,0.007172464243730089
43,2016-03-07,0.0009438260439400319
44,2016-03-08,-0.015015080120672366
45,2016-03-09,0.005664879199164684
46,2016-03-10,-0.001802161943493653
47,2016-03-11,0.018958361002536905
48,2016-03-14,-0.0020144480046193924
49,2016-03-15,-0.007831403877959862
50,2016-03-16,0.010381825622324196
51,2016-03-17,0.01066385244552178
52,2016-03-18,0.00285188948374982
53,2016-03-21,0.0012778048120593998
54,2016-03-22,-0.00022789812623409108
55,2016-03-23,-0.013215373794385291
56,2016-03-24,0.00010464035032206093
57,2016-03-28,0.0009052683564342487
58,2016-03-29,0.016613842935483927
59,2016-03-30,0.0049098891333408615
60,2016-03-31,-0.0005153790489262352
61,2016-04-01,0.0048065448797310634
62,2016-04-04,-0.006793847591202351
63,2016-04-05,-0.0125826658415647
64,2016-04-06,0.012692398254564925
65,2016-04-07,-0.014933170954603817
66,2016-04-08,0.0057461229287220725
67,2016-04-11,0.0008693495002828785
68,2016-04-12,0.01092060129633558
69,2016-04-13,0.015469929684854866
70,2016-04-14,-0.0014656160545283607
71,2016-04-15,-0.0017225947500091694
72,2016-04-18,0.006138244078230567
73,2016-04-19,0.0031820977443297485
74,2016-04-20,-0.0002951013699314602
75,2016-04-21,-0.005024713662677857
76,2016-04-22,-0.0028976710389718684
77,2016-04-25,-0.0037470959814887377
78,2016-04-26,0.004195466443826889
79,2016-04-27,0.0008379132095433241
80,2016-04-28,-0.010714877018257126
81,2016-04-29,-0.005987903313343309
82,2016-05-02,0.005963817785416601
83,2016-05-03,-0.015555664633840926
84,2016-05-04,-0.00907989001837162
85,2016-05-05,-0.0011776196364179645
86,2016-05-06,0.0041046344853215505
87,2016-05-09,-0.0015214450363020323
88,2016-05-10,0.013819567223237912
89,2016-05-11,-0.008308323360936704
90,2016-05-12,-0.0030246237715746333
91,2016-05-13,-0.009208242109361314
92,2016-05-16,0.011773653103638742
93,2016-05-17,-0.0105809705173656
94,2016-05-18,-0.0001615505136599957
95,2016-05-19,-0.006468667650816549
96,2016-05-20,0.011007948100514262
97,2016-05-23,-0.0014272640776533218
98,2016-05-24,0.015961494575754985
99,2016-05-25,0.007940457406287658
100,2016-05-26,0.0021747083998333006
101,2016-05-27,0.004786786859685639
102,2016-05-31,0.0011488879821868287
103,2016-06-01,0.0020630747163944856
104,2016-06-02,0.00519893828810805
105,2016-06-03,0.0003281068422717737
106,2016-06-06,0.007472822165203135
107,2016-06-07,0.002682868383539576
108,2016-06-08,0.0048587592692083134
109,2016-06-09,-0.00515602743299543
110,2016-06-10,-0.014841280051023205
111,2016-06-13,-0.010193731757770693
112,2016-06-14,-0.0020262645874291937
113,2016-06-15,0.0017048617563883883
114,2016-06-16,0.0006077138802464399
115,2016-06-17,-0.006262048514825501
116,2016-06-20,0.010280534090792128
117,2016-06-21,0.0029456449520292626
118,2016-06-22,-0.003285508160997131
119,2016-06-23,0.017567163481473535
120,2016-06-24,-0.04384607746824495
121,2016-06-27,-0.02083365560368068
122,2016-06-28,0.02121764415675308
123,2016-06-29,0.020664590128909404
124,2016-06-30,0.01344339293479814
125,2016-07-01,0.005046390659579762
126,2016-07-05,-0.01224454559962528
127,2016-07-06,0.003378012008888222
128,2016-07-07,0.0004544030451005846
129,2016-07-08,0.01875780270335278
130,2016-07-11,0.0075331175947544
131,2016-07-12,0.009870322432988021
132,2016-07-13,-0.0020330188299586727
133,2016-07-14,0.006958049380629196
134,2016-07-15,-0.00062121028282923
135,2016-07-18,0.004975801034084487
136,2016-07-19,-0.004932639055297225
137,2016-07-20,0.006871544468084343
138,2016-07-21,-0.0034648833084676154
139,2016-07-22,0.005813909813548165
140,2016-07-25,-0.003493520447928539
141,2016-07-26,0.003520650392836376
142,2016-07-27,0.003004635194210039
143,2016-07-28,0.0006214147813710997
144,2016-07-29,0.002746420072504034
145,2016-08-01,0.0008616396539170092
146,2016-08-02,-0.00875330109682333
147,2016-08-03,0.004398396008020659
148,2016-08-04,0.002583184289178933
