date,EEM,IWM,QQQ,SPY
2016-01-04,0.25,0.25,0.25,0.25
2016-01-05,0.2007676362991333,0.2007676362991333,0.3976971209049225,0.2007676362991333
2016-01-06,0.20056454837322235,0.20056454837322235,0.39830633997917175,0.20056454837322235
2016-01-07,0.20032396912574768,0.20032396912574768,0.3990280330181122,0.20032396912574768
2016-01-08,0.20289745926856995,0.20289745926856995,0.39130762219429016,0.20289745926856995
2016-01-11,0.20333164930343628,0.20333164930343628,0.39000508189201355,0.20333164930343628
2016-01-12,0.20032905042171478,0.20032905042171478,0.39901286363601685,0.20032905042171478
2016-01-13,0.19777674973011017,0.19777674973011017,0.4066697657108307,0.19777674973011017
2016-01-14,0.19959519803524017,0.19959519803524017,0.4012143313884735,0.19959519803524017
2016-01-15,0.19806231558322906,0.19806231558322906,0.4058130383491516,0.19806231558322906
2016-01-19,0.19975951313972473,0.19975951313972473,0.4007214903831482,0.19975951313972473
2016-01-20,0.19778090715408325,0.19778090715408325,0.40665724873542786,0.19778090715408325
2016-01-21,0.20288757979869843,0.20288757979869843,0.3913372755050659,0.20288757979869843
2016-01-22,0.20205411314964294,0.20205411314964294,0.3938376307487488,0.20205411314964294
2016-01-25,0.19589154422283173,0.19589154422283173,0.41232535243034363,0.19589154422283173
2016-01-26,0.19587264955043793,0.19587264955043793,0.4123821258544922,0.19587264955043793
2016-01-27,0.19599515199661255,0.19599515199661255,0.41201460361480713,0.19599515199661255
2016-01-28,0.19599446654319763,0.19599446654319763,0.4120166003704071,0.19599446654319763
2016-01-29,0.19596192240715027,0.19596192240715027,0.4121141731739044,0.19596192240715027
2016-02-01,0.19208738207817078,0.19208738207817078,0.42373791337013245,0.19208738207817078
2016-02-02,0.19226717948913574,0.19226717948913574,0.42319849133491516,0.19226717948913574
2016-02-03,0.19165000319480896,0.19165000319480896,0.42504996061325073,0.19165000319480896
2016-02-04,0.19062207639217377,0.19062207639217377,0.4281338155269623,0.19062207639217377
2016-02-05,0.1908104419708252,0.1908104419708252,0.4275686740875244,0.1908104419708252
2016-02-08,0.19067205488681793,0.19067205488681793,0.4279838800430298,0.19067205488681793
2016-02-09,0.1920815408229828,0.1920815408229828,0.42375537753105164,0.1920815408229828
2016-02-10,0.19208866357803345,0.19208866357803345,0.42373400926589966,0.19208866357803345
2016-02-11,0.1914665549993515,0.1914665549993515,0.4256003201007843,0.1914665549993515
2016-02-12,0.19414663314819336,0.19414663314819336,0.41756007075309753,0.19414663314819336
2016-02-16,0.1918686181306839,0.1918686181306839,0.4243941605091095,0.1918686181306839
2016-02-17,0.19788148999214172,0.19788148999214172,0.40635547041893005,0.19788148999214172
2016-02-18,0.20053713023662567,0.20053713023662567,0.3983885943889618,0.20053713023662567
2016-02-19,0.19940099120140076,0.19940099120140076,0.4017970561981201,0.19940099120140076
2016-02-22,0.20064672827720642,0.20064672827720642,0.39805981516838074,0.20064672827720642
2016-02-23,0.19629552960395813,0.19629552960395813,0.41111335158348083,0.19629552960395813
2016-02-24,0.19808357954025269,0.19808357954025269,0.40574929118156433,0.19808357954025269
2016-02-25,0.19813181459903717,0.19813181459903717,0.40560460090637207,0.19813181459903717
2016-02-26,0.20710434019565582,0.20710434019565582,0.3786869943141937,0.20710434019565582
2016-02-29,0.21246914565563202,0.21246914565563202,0.36259251832962036,0.21246914565563202
2016-03-01,0.20883247256278992,0.20883247256278992,0.373502641916275,0.20883247256278992
2016-03-02,0.21369144320487976,0.21369144320487976,0.3589257001876831,0.21369144320487976
2016-03-03,0.2115917056798935,0.2115917056798935,0.3652249276638031,0.2115917056798935
2016-03-04,0.21051213145256042,0.21051213145256042,0.3684636056423187,0.21051213145256042
2016-03-07,0.2108985036611557,0.2108985036611557,0.3673045337200165,0.2108985036611557
2016-03-08,0.208072692155838,0.208072692155838,0.3757818937301636,0.208072692155838
2016-03-09,0.20753929018974304,0.20753929018974304,0.3773820996284485,0.20753929018974304
2016-03-10,0.20764373242855072,0.20764373242855072,0.37706878781318665,0.20764373242855072
2016-03-11,0.20798087120056152,0.20798087120056152,0.37605735659599304,0.20798087120056152
2016-03-14,0.2080712765455246,0.2080712765455246,0.3757861852645874,0.2080712765455246
2016-03-15,0.2092706859111786,0.2092706859111786,0.37218791246414185,0.2092706859111786
2016-03-16,0.2038789838552475,0.2038789838552475,0.3883630931377411,0.2038789838552475
2016-03-17,0.2050125002861023,0.2050125002861023,0.3849625289440155,0.2050125002861023
2016-03-18,0.20311810076236725,0.20311810076236725,0.39064571261405945,0.20311810076236725
2016-03-21,0.2075304388999939,0.2075304388999939,0.37740862369537354,0.2075304388999939
2016-03-22,0.2056378275156021,0.2056378275156021,0.3830864727497101,0.2056378275156021
2016-03-23,0.20358648896217346,0.20358648896217346,0.3892405033111572,0.20358648896217346
2016-03-24,0.19949010014533997,0.19949010014533997,0.4015296995639801,0.19949010014533997
2016-03-28,0.19638247787952423,0.19638247787952423,0.4108526110649109,0.19638247787952423
2016-03-29,0.19857953488826752,0.19857953488826752,0.40426141023635864,0.19857953488826752
2016-03-30,0.2028246968984604,0.2028246968984604,0.39152589440345764,0.2028246968984604
2016-03-31,0.2092716544866562,0.2092716544866562,0.3721850514411926,0.2092716544866562
2016-04-01,0.20926611125469208,0.20926611125469208,0.3722016513347626,0.20926611125469208
2016-04-04,0.20890069007873535,0.20890069007873535,0.37329789996147156,0.20890069007873535
2016-04-05,0.21333390474319458,0.21333390474319458,0.35999834537506104,0.21333390474319458
2016-04-06,0.2119569480419159,0.2119569480419159,0.3641291558742523,0.2119569480419159
