time/episodes,time/fps,time/time_elapsed,time/total_timesteps,train/ent_coef,train/learning_rate,train/actor_loss,train/ent_coef_loss,train/reward,train/n_updates,train/critic_loss
4,81,144,11828,0.1629437804222107,0.0001,855.6677856445312,-77.9197998046875,-6.2302575,11727,254.56410217285156
8,81,290,23656,0.04966926574707031,0.0001,335.02630615234375,-132.21401977539062,-6.785278,23555,27.8532657623291
12,81,434,35484,0.015555796213448048,0.0001,164.5117950439453,-145.2774658203125,-7.216088,35383,5.300483703613281
16,81,580,47312,0.0050118728540837765,0.0001,85.00728607177734,-96.72493743896484,-7.143468,47211,6.889701843261719
